"design","method","target","mean_auc","sd_auc","n"
"paper_like","mirage_joint","pleiotropy",0.749212121212121,0.135312881910381,30
"paper_like","mirage_joint","trait1",0.712070175438597,0.0658063737470732,30
"paper_like","mirage_joint","trait2",0.670965986394558,0.103190899993991,30
"paper_like","mtada_aggregated","pleiotropy",0.791313131313131,0.123322930642838,30
"paper_like","mtada_aggregated","trait1",0.736056140350877,0.0644688200147901,30
"paper_like","mtada_aggregated","trait2",0.720353741496599,0.0867948863179829,30
"paper_like","separate_mirage","pleiotropy",0.732161616161616,0.151588171421311,30
"paper_like","separate_mirage","trait1",0.703505964912281,0.0673537288274251,30
"paper_like","separate_mirage","trait2",0.629204081632653,0.101609890223947,30
"control_informative","mirage_joint","pleiotropy",0.789670033670034,0.114205512846976,30
"control_informative","mirage_joint","trait1",0.747166315789474,0.0491407583619837,30
"control_informative","mirage_joint","trait2",0.688251700680272,0.10809493789879,30
"control_informative","mtada_aggregated","pleiotropy",0.592835016835017,0.105049295780267,30
"control_informative","mtada_aggregated","trait1",0.604618947368421,0.056465348865517,30
"control_informative","mtada_aggregated","trait2",0.579829931972789,0.0868086422908212,30
"control_informative","separate_mirage","pleiotropy",0.77789898989899,0.113857605442577,30
"control_informative","separate_mirage","trait1",0.740999298245614,0.0584066315278096,30
"control_informative","separate_mirage","trait2",0.665850340136054,0.0970208154394756,30
