"seed","replicate","method","parameter","truth","estimate","abs_error"
20260813,1,"mirage_joint","pi00",0.94,0.874790284944982,0.0652097150550183
20260813,1,"mirage_joint","pi10",0.04,0.110044059140328,0.0700440591403283
20260813,1,"mirage_joint","pi01",0.01,0.00449671022251016,0.00550328977748984
20260813,1,"mirage_joint","pi11",0.01,0.0106689456921798,0.000668945692179779
20260813,1,"mirage_joint","eta1_C1",0.05,0.0710780059028008,0.0210780059028008
20260813,1,"mirage_joint","eta1_C2",0.2,0.226808622831902,0.0268086228319016
20260813,1,"mirage_joint","eta1_C3",0.5,0.448798705074318,0.0512012949256823
20260813,1,"mirage_joint","eta2_C1",0.03,0.0249597905540734,0.00504020944592662
20260813,1,"mirage_joint","eta2_C2",0.15,0.310957230368699,0.160957230368699
20260813,1,"mirage_joint","eta2_C3",0.4,0.369413746354809,0.030586253645191
20260813,1,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260813,1,"separate_mirage","pi10",0.04,0.049,0.009
20260813,1,"separate_mirage","pi01",0.01,0.019,0.009
20260813,1,"separate_mirage","pi11",0.01,0.001,0.009
20260813,1,"separate_mirage","eta1_C1",0.05,0.130860868894469,0.0808608688944695
20260813,1,"separate_mirage","eta1_C2",0.2,0.337255657787313,0.137255657787313
20260813,1,"separate_mirage","eta1_C3",0.5,0.724384848612803,0.224384848612803
20260813,1,"separate_mirage","eta2_C1",0.03,0.000691043464110665,0.0293089565358893
20260813,1,"separate_mirage","eta2_C2",0.15,0.370938424862706,0.220938424862706
20260813,1,"separate_mirage","eta2_C3",0.4,0.417491051713841,0.0174910517138407
20260813,1,"mtada_aggregated","pi00",0.94,0.93880435,0.00119564999999999
20260813,1,"mtada_aggregated","pi10",0.04,0.04119565,0.00119565
20260813,1,"mtada_aggregated","pi01",0.01,0.01119565,0.00119565
20260813,1,"mtada_aggregated","pi11",0.01,0.00880435,0.00119565
20260814,2,"mirage_joint","pi00",0.94,0.834008562802567,0.105991437197433
20260814,2,"mirage_joint","pi10",0.04,0.158380710090913,0.118380710090913
20260814,2,"mirage_joint","pi01",0.01,0.00185680587712146,0.00814319412287855
20260814,2,"mirage_joint","pi11",0.01,0.00575392122939847,0.00424607877060153
20260814,2,"mirage_joint","eta1_C1",0.05,0.0886646783025031,0.0386646783025031
20260814,2,"mirage_joint","eta1_C2",0.2,0.0490069948068078,0.150993005193192
20260814,2,"mirage_joint","eta1_C3",0.5,0.268913877225055,0.231086122774945
