"method","parameter","mean_estimate","sd_estimate","mean_abs_error","sd_abs_error","n"
"mirage_joint","eta1_C1",0.0714005420147027,0.0733760717633196,0.0477014486797501,0.0591940231973447,30
"mirage_joint","eta1_C2",0.219903728619981,0.170723528985075,0.133440504923401,0.105527064495059,30
"mirage_joint","eta1_C3",0.501868370911662,0.198633254447234,0.163757965933511,0.108246924857518,30
"mirage_joint","eta2_C1",0.0664853769440391,0.100636990671935,0.0638318996956733,0.0853807804047691,30
"mirage_joint","eta2_C2",0.186889550426589,0.161361218311263,0.12860800602381,0.101660427317618,30
"mirage_joint","eta2_C3",0.380290526223986,0.286484785593542,0.240799281037063,0.149972126970955,30
"mirage_joint","pi00",0.891240875322452,0.0577502929381586,0.055105173270148,0.0515096098313905,30
"mirage_joint","pi01",0.0188411947864957,0.0229453722433996,0.0158867428622381,0.0186080784354294,30
"mirage_joint","pi10",0.0669713470375561,0.0525170647095966,0.0451356640765632,0.0374580142740461,30
"mirage_joint","pi11",0.0229465828534963,0.0197199396205669,0.017401020959992,0.0157807814745704,30
"mtada_aggregated","pi00",0.938748756,0.000697094624713282,0.00125667733333334,0.000686909505182383,30
"mtada_aggregated","pi01",0.011251244,0.000697094624713272,0.00125667733333333,0.000686909505182368,30
"mtada_aggregated","pi10",0.041251244,0.000697094624713273,0.00125667733333334,0.000686909505182368,30
"mtada_aggregated","pi11",0.008748756,0.000697094624713272,0.00125667733333333,0.000686909505182367,30
"separate_mirage","eta1_C1",0.0991134604616403,0.0861958002687433,0.0745162504605141,0.064659739648194,30
"separate_mirage","eta1_C2",0.256219082822295,0.157193023805797,0.134766322770002,0.095869606286448,30
"separate_mirage","eta1_C3",0.63301981356704,0.231906377133142,0.211746265858014,0.160319740410507,30
"separate_mirage","eta2_C1",0.0954969399906179,0.127466621957891,0.0929343916607814,0.10840153509706,30
"separate_mirage","eta2_C2",0.286471313176665,0.234740430330542,0.215656350678351,0.16204424164822,30
"separate_mirage","eta2_C3",0.48171662652311,0.388611065800036,0.341398625359479,0.193272705584463,30
"separate_mirage","pi00",0.931,0,0.00900000000000001,0,30
"separate_mirage","pi01",0.019,0,0.009,0,30
"separate_mirage","pi10",0.049,0,0.009,0,30
"separate_mirage","pi11",0.001,0,0.009,0,30
