"seed","replicate","n_genes","variants_per_gene","n_case1","n_control1","n_case2","n_control2","bf_mode","pi11_truth","mtada_error","method","target","metric","threshold","value"
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","auc",NA,0.656673684210526
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","auc",NA,0.649387755102041
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","pleiotropy","auc",NA,0.541010101010101
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","pp08_power",0.8,0.08
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","pp08_fdp",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","pp08_discoveries",0.8,2
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","pp08_power",0.8,0.2
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","pp08_fdp",0.8,0.6
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","pp08_discoveries",0.8,5
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","pleiotropy","pp08_power",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","pleiotropy","pp08_fdp",0.8,1
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","pleiotropy","pp08_discoveries",0.8,2
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_observed_fdp",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_estimate",0.01,6.50576788330248e-07
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_power",0.01,0.08
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_discoveries",0.01,2
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_observed_fdp",0.05,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_estimate",0.05,6.50576788330248e-07
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_power",0.05,0.08
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_discoveries",0.05,2
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_observed_fdp",0.1,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_estimate",0.1,6.50576788330248e-07
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_power",0.1,0.08
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_discoveries",0.1,2
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_observed_fdp",0.2,0.333333333333333
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_estimate",0.2,0.175397425726075
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_power",0.2,0.08
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait1","bfdr_discoveries",0.2,3
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_observed_fdp",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_estimate",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_power",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_discoveries",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_observed_fdp",0.05,1
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_estimate",0.05,0.0407327795827102
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_power",0.05,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_discoveries",0.05,2
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_observed_fdp",0.1,0.666666666666667
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_estimate",0.1,0.0862598558198426
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_power",0.1,0.1
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_discoveries",0.1,3
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_observed_fdp",0.2,0.571428571428571
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_estimate",0.2,0.180359469838649
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_power",0.2,0.3
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","trait2","bfdr_discoveries",0.2,7
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","pleiotropy","bfdr_observed_fdp",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","pleiotropy","bfdr_estimate",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","pleiotropy","bfdr_power",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","pleiotropy","bfdr_discoveries",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","pleiotropy","bfdr_observed_fdp",0.05,1
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","pleiotropy","bfdr_estimate",0.05,0.0407328610375162
20260813,1,500,15,3000,3000,3000,3000,"fast",0.01,"","mirage_joint","pleiotropy","bfdr_power",0.05,0
