"seed","replicate","method","parameter","truth","estimate","abs_error"
20260813,1,"mirage_joint","pi00",0.94,0.883343573306357,0.0566564266936426
20260813,1,"mirage_joint","pi10",0.04,0.00285168978948655,0.0371483102105135
20260813,1,"mirage_joint","pi01",0.01,0.0716473377167642,0.0616473377167642
20260813,1,"mirage_joint","pi11",0.01,0.0421573991873918,0.0321573991873918
20260813,1,"mirage_joint","eta1_C1",0.05,0.00549643701102157,0.0445035629889784
20260813,1,"mirage_joint","eta1_C2",0.2,0.250908304829756,0.0509083048297561
20260813,1,"mirage_joint","eta1_C3",0.5,0.716717245427296,0.216717245427296
20260813,1,"mirage_joint","eta2_C1",0.03,0.0818213362461081,0.0518213362461081
20260813,1,"mirage_joint","eta2_C2",0.15,0.337348503101644,0.187348503101644
20260813,1,"mirage_joint","eta2_C3",0.4,0.395792450323554,0.00420754967644632
20260813,1,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260813,1,"separate_mirage","pi10",0.04,0.049,0.009
20260813,1,"separate_mirage","pi01",0.01,0.019,0.009
20260813,1,"separate_mirage","pi11",0.01,0.001,0.009
20260813,1,"separate_mirage","eta1_C1",0.05,0.0124197309760305,0.0375802690239695
20260813,1,"separate_mirage","eta1_C2",0.2,0.25186914825718,0.0518691482571796
20260813,1,"separate_mirage","eta1_C3",0.5,0.706780409420669,0.206780409420669
20260813,1,"separate_mirage","eta2_C1",0.03,0.0770424044805125,0.0470424044805125
20260813,1,"separate_mirage","eta2_C2",0.15,0.499932667983592,0.349932667983592
20260813,1,"separate_mirage","eta2_C3",0.4,0.977794854232347,0.577794854232347
20260813,1,"mtada_aggregated","pi00",0.94,0.948356164383562,0.00835616438356168
20260813,1,"mtada_aggregated","pi10",0.04,0.0316438356164384,0.00835616438356165
20260813,1,"mtada_aggregated","pi01",0.01,0.00164383561643835,0.00835616438356165
20260813,1,"mtada_aggregated","pi11",0.01,0.0183561643835616,0.00835616438356165
20260814,2,"mirage_joint","pi00",0.94,0.845601270999159,0.094398729000841
20260814,2,"mirage_joint","pi10",0.04,0.0843264444738955,0.0443264444738955
20260814,2,"mirage_joint","pi01",0.01,0.0304299089795815,0.0204299089795815
20260814,2,"mirage_joint","pi11",0.01,0.0396423755473641,0.0296423755473641
20260814,2,"mirage_joint","eta1_C1",0.05,0.0988249221714828,0.0488249221714828
20260814,2,"mirage_joint","eta1_C2",0.2,0.190813754891874,0.00918624510812568
20260814,2,"mirage_joint","eta1_C3",0.5,0.483070926121398,0.0169290738786019
20260814,2,"mirage_joint","eta2_C1",0.03,0.0582653900945886,0.0282653900945886
20260814,2,"mirage_joint","eta2_C2",0.15,0.373468444402158,0.223468444402158
20260814,2,"mirage_joint","eta2_C3",0.4,0.000182959163080143,0.39981704083692
