"method","parameter","mean_estimate","sd_estimate","mean_abs_error","sd_abs_error","n"
"mirage_joint","eta1_C1",0.0934204237640981,0.0697038739952218,0.0618896961407802,0.0533531606509653,30
"mirage_joint","eta1_C2",0.24278566851643,0.131824080453945,0.102588227487623,0.0915645857942845,30
"mirage_joint","eta1_C3",0.471050831126595,0.224589622159097,0.181088614044426,0.131846763239245,30
"mirage_joint","eta2_C1",0.0474953595389391,0.061690756281497,0.0412243154153834,0.048624541705065,30
"mirage_joint","eta2_C2",0.213764626547873,0.149904547143741,0.123286561583911,0.104660430279913,30
"mirage_joint","eta2_C3",0.32374395882557,0.26379314386748,0.231809047165284,0.141470643211642,30
"mirage_joint","pi00",0.843586684244316,0.0461927662483573,0.0964133157556838,0.0461927662483573,30
"mirage_joint","pi01",0.0282085461008781,0.031741797895218,0.0241113734164778,0.0273700660597733,30
"mirage_joint","pi10",0.0802302230174232,0.0448769607872016,0.0505610212930916,0.0323056127131126,30
"mirage_joint","pi11",0.0479745466373826,0.0340501623430554,0.0395101866677227,0.0321919530349659,30
"mtada_aggregated","pi00",0.940661080744944,0.00625824293027164,0.00576952607827789,0.00227649481134838,30
"mtada_aggregated","pi01",0.00933891925505545,0.00625824293027163,0.00576952607827789,0.00227649481134838,30
"mtada_aggregated","pi10",0.0393389192550554,0.00625824293027163,0.00576952607827789,0.00227649481134838,30
"mtada_aggregated","pi11",0.0106610807449446,0.00625824293027163,0.00576952607827789,0.00227649481134838,30
"separate_mirage","eta1_C1",0.147485286613504,0.130304376427912,0.116446718929171,0.113061467516746,30
"separate_mirage","eta1_C2",0.355531948805935,0.191997265315269,0.194327795250562,0.151068881245306,30
"separate_mirage","eta1_C3",0.712501782015731,0.204208340975937,0.246740490347132,0.159483485545849,30
"separate_mirage","eta2_C1",0.0788914901730973,0.0994115829361109,0.072047422206185,0.0835801545446929,30
"separate_mirage","eta2_C2",0.355441639829819,0.287682024910481,0.250344944186814,0.248171087059965,30
"separate_mirage","eta2_C3",0.522451986224497,0.388391538946339,0.35810273258422,0.183575531162781,30
"separate_mirage","pi00",0.931,0,0.00900000000000001,0,30
"separate_mirage","pi01",0.019,0,0.009,0,30
"separate_mirage","pi10",0.049,0,0.009,0,30
"separate_mirage","pi11",0.001,0,0.009,0,30
