"multiplier","target","source","mirage_auc","mirage_sd","n","mtada_auc","mtada_sd","mtada_n","separate_auc","delta"
2,"pleiotropy","10rep_coarse",0.725131313131313,0.101750115313373,10,0.830060606060606,0.0957309959464277,10,0.720646464646465,-0.104929292929293
2,"trait1","10rep_coarse",0.69146947368421,0.0718889063247593,10,0.729793684210526,0.0463518592137362,10,0.689372631578947,-0.0383242105263161
2,"trait2","10rep_coarse",0.662367346938776,0.0623130142886212,10,0.703102040816327,0.0727335791694818,10,0.619020408163265,-0.040734693877551
3,"pleiotropy","10rep_coarse",0.678949494949495,0.134545548915886,10,0.73030303030303,0.155449261860447,10,0.676646464646465,-0.051353535353535
3,"trait1","10rep_coarse",0.694122105263158,0.0655568241432676,10,0.71104,0.0783592228174452,10,0.679124210526316,-0.016917894736842
3,"trait2","10rep_coarse",0.623204081632653,0.106977847235574,10,0.694918367346939,0.112866817560247,10,0.616795918367347,-0.0717142857142861
4,"pleiotropy","10rep_coarse",0.718060606060606,0.152346725109795,10,0.722828282828283,0.121176799941599,10,0.718262626262626,-0.00476767676767709
4,"trait1","10rep_coarse",0.704033684210526,0.0624261415832353,10,0.727663157894737,0.0513036040113079,10,0.705052631578947,-0.023629473684211
4,"trait2","10rep_coarse",0.655632653061225,0.0682404277631968,10,0.627367346938775,0.0518538234906302,10,0.613918367346939,0.0282653061224499
5,"pleiotropy","10rep_coarse",0.775515151515151,0.121970422650873,10,0.711717171717172,0.144744901892308,10,0.78549494949495,0.0637979797979791
5,"trait1","10rep_coarse",0.71450947368421,0.041089939323068,10,0.685713684210526,0.0498725385021168,10,0.712176842105263,0.028795789473684
5,"trait2","10rep_coarse",0.724897959183674,0.0868404583910542,10,0.624448979591837,0.0817034726819212,10,0.694979591836735,0.100448979591837
6,"pleiotropy","10rep_coarse",0.815353535353535,0.0788271219427837,10,0.72589898989899,0.136566081591061,10,0.796969696969697,0.089454545454545
6,"trait1","10rep_coarse",0.706105263157895,0.06920638993265,10,0.681587368421053,0.066615322943347,10,0.682543157894737,0.024517894736842
6,"trait2","10rep_coarse",0.715102040816327,0.0657964866650001,10,0.699163265306122,0.0799111103183792,10,0.664795918367347,0.015938775510205
8,"pleiotropy","30rep_ratio_sensitivity",0.760673400673401,0.121479159388001,30,0.702249158249158,0.139498431129206,30,0.760552188552189,0.0584242424242429
8,"trait1","30rep_ratio_sensitivity",0.708867368421053,0.0555697529654946,30,0.671557894736842,0.0584965815130701,30,0.709745964912281,0.037309473684211
8,"trait2","30rep_ratio_sensitivity",0.682918367346939,0.10438349720934,30,0.657993197278912,0.106630211304225,30,0.670891156462585,0.024925170068027
