"method","target","metric","value","multiplier"
"mirage_joint","pleiotropy","pp08_discoveries",0.2,2
"mtada_aggregated","pleiotropy","pp08_discoveries",0.1,2
"separate_mirage","pleiotropy","pp08_discoveries",0,2
"mirage_joint","trait1","pp08_discoveries",3.8,2
"mtada_aggregated","trait1","pp08_discoveries",6.7,2
"separate_mirage","trait1","pp08_discoveries",2.9,2
"mirage_joint","trait2","pp08_discoveries",0.9,2
"mtada_aggregated","trait2","pp08_discoveries",2.2,2
"separate_mirage","trait2","pp08_discoveries",0.5,2
"mirage_joint","pleiotropy","pp08_fdp",0.1,2
"mtada_aggregated","pleiotropy","pp08_fdp",0,2
"separate_mirage","pleiotropy","pp08_fdp",0,2
"mirage_joint","trait1","pp08_fdp",0.109848484848485,2
"mtada_aggregated","trait1","pp08_fdp",0.29514652014652,2
"separate_mirage","trait1","pp08_fdp",0.0666666666666666,2
"mirage_joint","trait2","pp08_fdp",0.15,2
"mtada_aggregated","trait2","pp08_fdp",0.633333333333333,2
"separate_mirage","trait2","pp08_fdp",0.05,2
"mirage_joint","pleiotropy","pp08_discoveries",0.3,3
"mtada_aggregated","pleiotropy","pp08_discoveries",0.3,3
"separate_mirage","pleiotropy","pp08_discoveries",0,3
"mirage_joint","trait1","pp08_discoveries",4.3,3
"mtada_aggregated","trait1","pp08_discoveries",14.3,3
"separate_mirage","trait1","pp08_discoveries",3.3,3
"mirage_joint","trait2","pp08_discoveries",1.2,3
"mtada_aggregated","trait2","pp08_discoveries",10.3,3
"separate_mirage","trait2","pp08_discoveries",1,3
"mirage_joint","pleiotropy","pp08_fdp",0.1,3
"mtada_aggregated","pleiotropy","pp08_fdp",0.2,3
"separate_mirage","pleiotropy","pp08_fdp",0,3
"mirage_joint","trait1","pp08_fdp",0.111666666666667,3
"mtada_aggregated","trait1","pp08_fdp",0.670200216450216,3
"separate_mirage","trait1","pp08_fdp",0.0476190476190476,3
"mirage_joint","trait2","pp08_fdp",0.05,3
"mtada_aggregated","trait2","pp08_fdp",0.809248366013072,3
"separate_mirage","trait2","pp08_fdp",0.05,3
"mirage_joint","pleiotropy","pp08_discoveries",0.8,4
"mtada_aggregated","pleiotropy","pp08_discoveries",1,4
"separate_mirage","pleiotropy","pp08_discoveries",0,4
"mirage_joint","trait1","pp08_discoveries",5.6,4
"mtada_aggregated","trait1","pp08_discoveries",33,4
"separate_mirage","trait1","pp08_discoveries",3.9,4
"mirage_joint","trait2","pp08_discoveries",1,4
"mtada_aggregated","trait2","pp08_discoveries",20.9,4
"separate_mirage","trait2","pp08_discoveries",0.4,4
"mirage_joint","pleiotropy","pp08_fdp",0.04,4
"mtada_aggregated","pleiotropy","pp08_fdp",0.566666666666667,4
"separate_mirage","pleiotropy","pp08_fdp",0,4
"mirage_joint","trait1","pp08_fdp",0.10988455988456,4
"mtada_aggregated","trait1","pp08_fdp",0.788138051348791,4
"separate_mirage","trait1","pp08_fdp",0.0583333333333333,4
"mirage_joint","trait2","pp08_fdp",0.14,4
"mtada_aggregated","trait2","pp08_fdp",0.929368845092529,4
"separate_mirage","trait2","pp08_fdp",0.05,4
