"rep","bg_variants","causal_variants","bg_causal_variants","case_bg","control_bg","case_per_bg","control_per_bg","case_af","control_af"
1,737,67,4,4103,4011,5.56716417910448,5.44233378561737,0.000927860696517413,0.000907055630936228
2,758,64,5,4002,4036,5.27968337730871,5.3245382585752,0.000879947229551451,0.000887423043095866
3,731,59,0,3397,3406,4.64705882352941,4.6593707250342,0.000774509803921569,0.0007765617875057
4,740,72,3,4472,4531,6.04324324324324,6.12297297297297,0.00100720720720721,0.0010204954954955
5,744,79,3,3676,3563,4.94086021505376,4.78897849462366,0.000823476702508961,0.000798163082437276
6,792,64,1,4170,4225,5.26515151515152,5.33459595959596,0.000877525252525253,0.000889099326599327
7,799,71,2,3885,3866,4.86232790988736,4.83854818523154,0.000810387984981227,0.00080642469753859
8,749,65,5,3801,3862,5.07476635514019,5.1562082777036,0.000845794392523364,0.000859368046283934
9,732,70,6,3243,3338,4.43032786885246,4.56010928961749,0.000738387978142077,0.000760018214936248
10,749,69,1,3782,3685,5.04939919893191,4.91989319092123,0.000841566533155318,0.000819982198486871
11,746,68,4,4152,4234,5.5656836461126,5.67560321715818,0.000927613941018767,0.000945933869526363
12,714,77,6,3830,3763,5.3641456582633,5.2703081232493,0.000894024276377218,0.000878384687208217
13,738,55,2,3944,3875,5.34417344173442,5.25067750677507,0.000890695573622403,0.000875112917795845
14,777,67,2,4224,4361,5.43629343629344,5.61261261261261,0.000906048906048906,0.000935435435435435
15,704,66,3,3955,3810,5.61789772727273,5.41193181818182,0.000936316287878788,0.000901988636363636
16,692,72,4,3397,3480,4.90895953757225,5.02890173410405,0.000818159922928709,0.000838150289017341
17,747,72,1,4094,3844,5.4805890227577,5.14591700133869,0.00091343150379295,0.000857652833556448
18,784,74,1,4068,4091,5.18877551020408,5.21811224489796,0.000864795918367347,0.00086968537414966
19,748,70,3,3830,3887,5.12032085561497,5.19652406417112,0.000853386809269162,0.00086608734402852
20,744,71,6,4043,3844,5.43413978494624,5.16666666666667,0.000905689964157706,0.000861111111111111
21,757,66,3,4258,3854,5.62483487450462,5.09114927344782,0.000937472479084104,0.00084852487890797
22,779,71,4,3802,3871,4.8806161745828,4.96919127086008,0.000813436029097133,0.000828198545143346
23,745,70,2,4008,3865,5.37986577181208,5.18791946308725,0.000896644295302013,0.000864653243847875
24,702,61,3,3570,3533,5.08547008547009,5.03276353276353,0.000847578347578348,0.000838793922127255
25,775,64,3,3557,3616,4.58967741935484,4.6658064516129,0.00076494623655914,0.00077763440860215
26,788,64,4,4131,4164,5.24238578680203,5.28426395939086,0.000873730964467005,0.000880710659898477
27,758,57,2,3986,3755,5.25857519788918,4.95382585751979,0.000876429199648197,0.000825637642919965
28,765,65,1,4355,4458,5.69281045751634,5.82745098039216,0.00094880174291939,0.00097124183006536
29,729,54,5,3724,3645,5.10836762688615,5,0.000851394604481024,0.000833333333333333
30,763,57,2,4292,4314,5.62516382699869,5.65399737876802,0.000937527304499782,0.000942332896461337
31,753,56,2,3654,3541,4.85258964143426,4.70252324037185,0.000808764940239044,0.000783753873395308
32,769,70,2,3997,4008,5.19765929778934,5.21196358907672,0.000866276549631556,0.000868660598179454
33,741,68,4,3450,3402,4.65587044534413,4.59109311740891,0.000775978407557355,0.000765182186234818
34,776,59,2,3777,3749,4.86726804123711,4.83118556701031,0.000811211340206186,0.000805197594501718
35,782,70,3,4084,4144,5.22250639386189,5.29923273657289,0.000870417732310315,0.000883205456095482
36,732,61,3,4212,4079,5.75409836065574,5.5724043715847,0.000959016393442623,0.000928734061930783
37,739,63,5,4166,3946,5.63734776725304,5.33964817320704,0.000939557961208841,0.000889941362201173
38,701,76,4,3436,3402,4.90156918687589,4.85306704707561,0.000816928197812649,0.000808844507845934
39,736,69,2,3582,3383,4.86684782608696,4.59646739130435,0.000811141304347826,0.000766077898550725
40,784,66,4,3981,3888,5.07780612244898,4.95918367346939,0.000846301020408163,0.000826530612244898
41,779,64,2,3706,3653,4.75738125802311,4.68934531450578,0.000792896876337184,0.000781557552417629
