"rep","trait","bg_variants","causal_variants","bg_causal_variants","case_bg","control_bg"
1,"trait1",353,53,4,2226,2152
1,"trait2",384,14,0,1877,1859
2,"trait1",388,54,5,2154,2236
2,"trait2",370,10,0,1848,1800
3,"trait1",366,44,0,1758,1749
3,"trait2",365,15,0,1639,1657
4,"trait1",370,56,3,2225,2220
4,"trait2",370,16,0,2247,2311
5,"trait1",365,61,2,1892,1793
5,"trait2",379,18,1,1784,1770
6,"trait1",396,48,1,1879,1914
6,"trait2",396,16,0,2291,2311
7,"trait1",400,55,2,1949,1935
7,"trait2",399,16,0,1936,1931
8,"trait1",362,49,3,1888,1944
8,"trait2",387,16,2,1913,1918
9,"trait1",375,48,4,1656,1752
9,"trait2",357,22,2,1587,1586
10,"trait1",360,57,1,1935,1767
10,"trait2",389,12,0,1847,1918
11,"trait1",370,58,4,2169,2220
11,"trait2",376,10,0,1983,2014
12,"trait1",359,57,4,1900,1846
12,"trait2",355,20,2,1930,1917
13,"trait1",386,38,1,2066,1975
13,"trait2",352,17,1,1878,1900
14,"trait1",368,56,1,1923,1982
14,"trait2",409,11,1,2301,2379
15,"trait1",369,56,2,2133,2075
15,"trait2",335,10,1,1822,1735
16,"trait1",350,60,4,1731,1779
16,"trait2",342,12,0,1666,1701
17,"trait1",392,53,1,2331,2131
17,"trait2",355,19,0,1763,1713
18,"trait1",378,62,1,1853,1943
18,"trait2",406,12,0,2215,2148
19,"trait1",385,56,3,2124,2150
19,"trait2",363,14,0,1706,1737
20,"trait1",355,60,6,2039,1882
20,"trait2",389,11,0,2004,1962
21,"trait1",408,44,2,2307,2069
21,"trait2",349,22,1,1951,1785
22,"trait1",404,53,4,1940,1919
22,"trait2",375,18,0,1862,1952
23,"trait1",376,50,1,2100,1932
23,"trait2",369,20,1,1908,1933
24,"trait1",341,42,3,1775,1713
24,"trait2",361,19,0,1795,1820
25,"trait1",378,47,2,1755,1751
25,"trait2",397,17,1,1802,1865
26,"trait1",386,48,4,2166,2187
26,"trait2",402,16,0,1965,1977
27,"trait1",377,41,1,2132,1964
27,"trait2",381,16,1,1854,1791
28,"trait1",381,52,0,2316,2369
28,"trait2",384,13,1,2039,2089
29,"trait1",375,41,3,1962,1934
29,"trait2",354,13,2,1762,1711
30,"trait1",380,41,1,2410,2359
30,"trait2",383,16,1,1882,1955
