"method","parameter","mean_estimate","sd_estimate","mean_abs_error","sd_abs_error","n"
"mirage_joint","eta1_C1",0.0876223218175262,0.0757183196387602,0.0606237531903411,0.0587421255215909,100
"mirage_joint","eta1_C2",0.223587046378728,0.13788954186679,0.111209376321951,0.0841608241214036,100
"mirage_joint","eta1_C3",0.543751742061354,0.27410618527516,0.230845144125525,0.152446689357522,100
"mirage_joint","eta2_C1",0.0579165395200813,0.0815925691668744,0.0530908689190974,0.0678044327236792,100
"mirage_joint","eta2_C2",0.205084254074186,0.217079817716792,0.163569512290851,0.152195051895298,100
"mirage_joint","eta2_C3",0.43906957848167,0.330077572039437,0.276634900066426,0.182189976206403,100
"mirage_joint","pi00",0.865717003315709,0.0570421282422167,0.0754692334635342,0.0554469875791136,100
"mirage_joint","pi01",0.0264868479242807,0.0298112067797372,0.0219006008779076,0.0260535734929023,100
"mirage_joint","pi10",0.076516690087274,0.0481569233465201,0.0450870696678976,0.0401578096261796,100
"mirage_joint","pi11",0.0312794586727361,0.0316589139734938,0.0255341525219871,0.0283036632891524,100
"mtada_aggregated","pi00",0.93203349589,0.000976276397647044,0.00796650411000001,0.000976276397647044,100
"mtada_aggregated","pi01",0.01796650411,0.000976276397647041,0.00796650411,0.000976276397647041,100
"mtada_aggregated","pi10",0.04796650411,0.000976276397647042,0.00796650411,0.000976276397647042,100
"mtada_aggregated","pi11",0.00203349589,0.000976276397647042,0.00796650411,0.000976276397647042,100
"separate_mirage","eta1_C1",0.1090279283531,0.100746085908692,0.0844838827544023,0.0803719005124385,100
"separate_mirage","eta1_C2",0.314667072530733,0.187295752738224,0.177572172859317,0.128493850627649,100
"separate_mirage","eta1_C3",0.702192436321342,0.256199390067675,0.283234234038697,0.160937581759629,100
"separate_mirage","eta2_C1",0.0961678979688321,0.15056082110449,0.0918293208367303,0.1362834308886,100
"separate_mirage","eta2_C2",0.297316635959999,0.301890036387142,0.253118184849812,0.219870471184807,100
"separate_mirage","eta2_C3",0.576954606585411,0.352541604512323,0.342407942348773,0.193616461680343,100
"separate_mirage","pi00",0.931,0,0.00900000000000001,0,100
"separate_mirage","pi01",0.019,0,0.009,0,100
"separate_mirage","pi10",0.049,0,0.009,0,100
"separate_mirage","pi11",0.001,0,0.009,0,100
