"seed","replicate","method","parameter","truth","estimate","abs_error"
20260813,1,"mirage_joint","pi00",0.94,0.865811312735752,0.074188687264248
20260813,1,"mirage_joint","pi10",0.04,0.0927962161414722,0.0527962161414722
20260813,1,"mirage_joint","pi01",0.01,0.00118401987210558,0.00881598012789442
20260813,1,"mirage_joint","pi11",0.01,0.0402084512506702,0.0302084512506701
20260813,1,"mirage_joint","eta1_C1",0.05,0.107335090543281,0.0573350905432806
20260813,1,"mirage_joint","eta1_C2",0.2,0.349784333684165,0.149784333684165
20260813,1,"mirage_joint","eta1_C3",0.5,0.445909376014431,0.0540906239855692
20260813,1,"mirage_joint","eta2_C1",0.03,0.0012225747058769,0.0287774252941231
20260813,1,"mirage_joint","eta2_C2",0.15,0.161295534788966,0.0112955347889664
20260813,1,"mirage_joint","eta2_C3",0.4,0.0181597231248012,0.381840276875199
20260813,1,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260813,1,"separate_mirage","pi10",0.04,0.049,0.009
20260813,1,"separate_mirage","pi01",0.01,0.019,0.009
20260813,1,"separate_mirage","pi11",0.01,0.001,0.009
20260813,1,"separate_mirage","eta1_C1",0.05,0.19387716438401,0.14387716438401
20260813,1,"separate_mirage","eta1_C2",0.2,0.536147496851431,0.336147496851431
20260813,1,"separate_mirage","eta1_C3",0.5,0.570064546787922,0.0700645467879221
20260813,1,"separate_mirage","eta2_C1",0.03,0.00152286392448619,0.0284771360755138
20260813,1,"separate_mirage","eta2_C2",0.15,0.303147209688092,0.153147209688092
20260813,1,"separate_mirage","eta2_C3",0.4,0.00073242520875477,0.399267574791245
20260813,1,"mtada_aggregated","pi00",0.94,0.93247524,0.00752476000000002
20260813,1,"mtada_aggregated","pi10",0.04,0.04752476,0.00752476
20260813,1,"mtada_aggregated","pi01",0.01,0.01752476,0.00752476
20260813,1,"mtada_aggregated","pi11",0.01,0.00247524,0.00752476
20260814,2,"mirage_joint","pi00",0.94,0.923597196820693,0.0164028031793065
20260814,2,"mirage_joint","pi10",0.04,0.0258714101852591,0.0141285898147409
20260814,2,"mirage_joint","pi01",0.01,0.00448875595991765,0.00551124404008235
20260814,2,"mirage_joint","pi11",0.01,0.0460426370341298,0.0360426370341298
20260814,2,"mirage_joint","eta1_C1",0.05,0.308843057839028,0.258843057839028
20260814,2,"mirage_joint","eta1_C2",0.2,0.00122021129546071,0.198779788704539
20260814,2,"mirage_joint","eta1_C3",0.5,0.618337654560533,0.118337654560533
20260814,2,"mirage_joint","eta2_C1",0.03,0.101646675964962,0.0716466759649625
20260814,2,"mirage_joint","eta2_C2",0.15,0.000424627421357587,0.149575372578642
20260814,2,"mirage_joint","eta2_C3",0.4,0.397612496094645,0.00238750390535503
20260814,2,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260814,2,"separate_mirage","pi10",0.04,0.049,0.009
20260814,2,"separate_mirage","pi01",0.01,0.019,0.009
20260814,2,"separate_mirage","pi11",0.01,0.001,0.009
20260814,2,"separate_mirage","eta1_C1",0.05,0.318380373180489,0.268380373180489
20260814,2,"separate_mirage","eta1_C2",0.2,0.00136963137395259,0.198630368626047
20260814,2,"separate_mirage","eta1_C3",0.5,0.788892957273163,0.288892957273163
20260814,2,"separate_mirage","eta2_C1",0.03,0.0705915725881226,0.0405915725881226
20260814,2,"separate_mirage","eta2_C2",0.15,0.000787711147139382,0.149212288852861
20260814,2,"separate_mirage","eta2_C3",0.4,0.920569715704521,0.520569715704521
20260814,2,"mtada_aggregated","pi00",0.94,0.9329322,0.00706779999999996
20260814,2,"mtada_aggregated","pi10",0.04,0.0470678,0.0070678
20260814,2,"mtada_aggregated","pi01",0.01,0.0170678,0.0070678
20260814,2,"mtada_aggregated","pi11",0.01,0.0029322,0.0070678
20260815,3,"mirage_joint","pi00",0.94,0.850735634817043,0.089264365182957
20260815,3,"mirage_joint","pi10",0.04,0.122151756234605,0.0821517562346052
20260815,3,"mirage_joint","pi01",0.01,0.0197131427167187,0.00971314271671871
20260815,3,"mirage_joint","pi11",0.01,0.00739946623163321,0.00260053376836679
20260815,3,"mirage_joint","eta1_C1",0.05,0.186407077414255,0.136407077414255
20260815,3,"mirage_joint","eta1_C2",0.2,0.0306131910929599,0.16938680890704
20260815,3,"mirage_joint","eta1_C3",0.5,0.166172837319342,0.333827162680658
20260815,3,"mirage_joint","eta2_C1",0.03,0.147308172297643,0.117308172297643
20260815,3,"mirage_joint","eta2_C2",0.15,0.0272894364247415,0.122710563575259
20260815,3,"mirage_joint","eta2_C3",0.4,0.505432779569552,0.105432779569552
20260815,3,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260815,3,"separate_mirage","pi10",0.04,0.049,0.009
20260815,3,"separate_mirage","pi01",0.01,0.019,0.009
20260815,3,"separate_mirage","pi11",0.01,0.001,0.009
20260815,3,"separate_mirage","eta1_C1",0.05,0.291717889880108,0.241717889880108
